FID,Shape,ORGANIZATI,UNIT,SUBUNIT,SUBUNIT2,FIREID,FIRENAME,FIRENUMBER,FIRECODE,CAUSE,SPECCAUSE,STATCAUSE,SIZECLASS,SIZECLASSN,FIRETYPE,STARTDATED,STATE,STATE_FIPS,FIPS,lat,lon,acres
34147,Point,FS,4,402,Boise National Forest,6735452,THIRD FORK,25,EKW2,Natural,1,1,B,2,1,8/7/16,Idaho,16,16,44.376944,-116.281389,6
35565,Point,FS,9,905,Mark Twain National Forest,6705183,ONION GAP,32,J56N,Human,30,9,B,2,1,2/18/16,Missouri,29,29,36.798611,-92.878333,6
35612,Point,FS,8,811,National Forests in North Carolina,6704351,Deep Water,1,J5TN,Human,9,4,B,2,1,1/31/16,North Carolina,37,37,35.4,-80.11,6
341516,Point,BIA,EOR,OKCNA,Cherokee Nation Tribe,701914,NE30342A,2060,KU99,Human,30,0,B,2,1,11/18/16,Oklahoma,40,40,35.7647,-94.6169,6
364467,Point,BIA,GPR,NDSRA,Standing Rock Agency,692985,Horseshoe,63,KDH6,Human,26,0,B,2,1,7/2/16,North Dakota,38,38,46.3889,-100.5875,6
388351,Point,BIA,GPR,SDPRA,Pine Ridge Agency,689330,COATS,19,J6KH,Human,30,0,B,2,1,3/3/16,South Dakota,46,46,43.39233,-102.31694,6
411222,Point,BIA,MWR,MNRLA,Red Lake Agency,689898,RL 021,21,J65A,Human,27,0,B,2,1,3/21/16,Minnesota,27,27,47.8692,-94.9164,6
487233,Point,BIA,RMR,WYWRA,Wind River Agency,701793,256 17 Mile,9,J6VV,Human,13,0,B,2,1,3/14/16,Wyoming,56,56,42.9992,-108.7139,6
509347,Point,BIA,SWR,NMSPA,Southern Pueblos Agency,690674,TR-A,46,J6W1,Human,13,0,B,2,1,3/15/16,New Mexico,35,35,34.8733,-106.68389,6
509372,Point,BIA,SWR,NMSPA,Southern Pueblos Agency,699097,Pueblo Road,71,J7Y5,Human,13,0,B,2,1,4/4/16,New Mexico,35,35,35.044492,-107.623793,6
552878,Point,BIA,WER,AZSCA,San Carlos Agency,697871,NORTH GATE,762,KA9T,Human,30,0,B,2,1,6/20/16,Arizona,4,4,33.35941,-110.46068,6
561610,Point,BIA,WER,UTUOA,Uintah and Ouray Agency,696892,Florence,14,KLE8,Natural,1,0,B,2,1,8/9/16,Utah,49,49,39.380939,-109.9348,6
639792,Point,BLM,CO,COMRD,Montrose Interagency Center,693546,Mile Marker 68,117,KD9Y,Human,26,0,B,2,1,7/5/16,Colorado,8,8,38.29089,-108.660797,6
651860,Point,BLM,ID,IDJRD,Jarbidge Field Office,693188,Toana RD,117,KD3B,Human,26,0,B,2,1,7/5/16,Idaho,16,16,42.54431,-114.96239,6
656619,Point,BLM,ID,IDSHD,Shoshone Field Office,694759,I84 MM175,154,KF9L,Human,30,0,B,2,1,7/17/16,Idaho,16,16,42.6244,-114.3967,6
730820,Point,BLM,OR,ORVAD,Vale District,699046,MP 37,107,KKM5,Human,30,0,B,2,1,8/3/16,Oregon,41,41,42.87851,-117.40367,6
758530,Point,BLM,WY,WYNCD,Newcastle Field Office,695699,North Wood Canyon,168335,KLD2,Natural,0,0,B,2,1,8/7/16,Wyoming,56,56,44.7943,-104.78646,6
782782,Point,NPS,IMRO,TXBBP,Big Bend National Park,695006,Little Christmas,1629,KJ8J,Natural,1,0,B,2,1,8/1/16,Texas,48,48,29.38,-103.38,6
844586,Point,NPS,SERO,TNGSP,Great Smoky Mountains National Park,702163,Foothills Bridge 7,16046,KSF8,Human,32,0,B,2,1,10/19/16,Tennessee,47,47,35.7117,-83.7072,6
396893,Point,BIA,MWR,MNFDA,Fond du Lac Tribe,691040,Burnette,1,J8MN,Human,0,0,B,2,3,4/23/16,Minnesota,27,27,46.7992,-92.5358,6.1
713704,Point,BLM,OR,ORLAD,Lakeview District,697250,Murdock,257,KMD3,Natural,0,0,B,2,1,8/16/16,Nevada,32,32,41.819094,-119.373087,6.1
364415,Point,BIA,GPR,NDSRA,Standing Rock Agency,689274,Straw,10,J6DS,Human,13,0,B,2,1,2/27/16,North Dakota,38,38,46.0283,-100.9303,6.1
27013,Point,FWS,14621,USORSLR,Sheldon National Wildlife Refuge,91037,murdock,2016USORSLRKMD3,KMD3,Natural,0,0,B,2,1,8/16/16,Nevada,32,32,41.826056,-119.372236,6.1
35651,Point,FS,3,310,Santa Fe National Forest,6737548,54,43,KE1W,Human,30,9,B,2,1,7/8/16,New Mexico,35,35,35.914722,-106.983889,6.1
341438,Point,BIA,EOR,OKCNA,Cherokee Nation Tribe,689659,Snag,67,J6K6,Human,19,0,B,2,1,3/4/16,Oklahoma,40,40,35.7325,-94.545,6.1
664873,Point,BLM,MT,MTMCD,Miles City Field Office,694215,Pondersosa,209,KGY4,Natural,0,0,B,2,1,7/20/16,Montana,30,30,45.9886,-106.3103,6.1
571731,Point,BLM,AK,AKAFS,Alaska Fire Service,693460,Otter Creek,229,J9SH,Human,32,0,B,2,1,6/1/16,Alaska,2,2,61.05,-160.88,6.2
377067,Point,BIA,GPR,SDCRA,Cheyenne River Agency,696598,WAKE UP,98,KNG1,Human,30,0,B,2,1,8/24/16,South Dakota,46,46,45.05626,-100.32999,6.2
342449,Point,BIA,EOR,OKMIA,Miami Agency,689595,BIRTHDAY,2,J54F,Human,30,0,B,2,1,2/15/16,Oklahoma,40,40,36.755,-94.6489,6.2
423660,Point,BIA,NWR,IDNPT,Nez Perce Tribe,700705,Mission,3326,KR0D,Human,11,0,B,2,1,10/5/16,Idaho,16,16,46.3522,-116.7186,6.2
33226,Point,FS,3,304,Coconino National Forest,6751472,Bias,93,KD5K,Natural,1,1,B,2,1,6/28/16,Arizona,4,4,34.745833,-111.735,6.2
345601,Point,BIA,EOR,OKOSA,Osage Agency,696413,Joseph,106,KNE1,Human,12,0,B,2,1,8/20/16,Oklahoma,40,40,36.7567,-96.0844,6.2
370282,Point,BIA,GPR,NDTMA,Turtle Mountain Agency,692062,LAGOON 1,7,J7FQ,Human,11,0,B,2,1,3/30/16,North Dakota,38,38,48.8119,-99.8158,6.2
388561,Point,BIA,GPR,SDPRA,Pine Ridge Agency,699516,RUNS FLAT,237,KR83,Human,27,0,B,2,1,10/15/16,South Dakota,46,46,43.06008,-102.54047,6.2
581567,Point,BLM,AZ,AZPHD,Phoenix District,692468,Black Canyon,566,KBW6,Human,3,0,B,2,1,6/23/16,Arizona,4,4,34.22,-112.1097,6.2
670150,Point,BLM,NM,NMFAD,Farmington Field Office,694620,Ruin,471,KHN0,Natural,0,0,B,2,1,7/22/16,New Mexico,35,35,36.7572,-107.5064,6.2
688376,Point,BLM,NV,NVEKD,Elko Field Office,696709,North Pass,100169,KLV5,Natural,0,0,B,2,1,8/10/16,Nevada,32,32,41.1553,-114.2917,6.2
34197,Point,FS,2,207,Nebraska National Forest,6730450,Walden Hills,10,EKU3,Natural,1,1,B,2,1,7/16/16,Nebraska,31,31,42.961389,-103.540278,6.26
755913,Point,BLM,WA,WASPD,Spokane District,701099,COYOTE,500484,KPU6,Human,0,0,B,2,1,9/5/16,Washington,53,53,45.7639,-120.1814,6.3
490152,Point,BIA,SPR,OKPAA,Pawnee Agency,688763,Ranch Fire,604,J5SZ,Human,11,0,B,2,1,1/29/16,Oklahoma,40,40,36.64505,-97.13844,6.3
345510,Point,BIA,EOR,OKOSA,Osage Agency,688954,Little Bluestem,15,J5X4,Human,32,0,B,2,1,2/8/16,Oklahoma,40,40,36.60981,-96.48678,6.4
34763,Point,FS,3,302,Carson National Forest,6708771,Comanche,2,J7RP,Human,30,2,B,2,1,4/4/16,New Mexico,35,35,36.363889,-105.944167,6.4
376973,Point,BIA,GPR,SDCRA,Cheyenne River Agency,689324,BLACK STAR,4,J6J5,Human,30,0,B,2,1,3/3/16,South Dakota,46,46,44.54379,-101.92115,6.4
388532,Point,BIA,GPR,SDPRA,Pine Ridge Agency,696154,Run Out,205,KMU9,Human,13,0,B,2,1,8/17/16,South Dakota,46,46,43.06494,-102.54339,6.4
628738,Point,BLM,CO,COCRD,Craig NW Center,694447,Little Juniper,103,KBW4,Human,0,0,B,2,1,6/23/16,Colorado,8,8,40.498383,-108.02408,6.5
31853,Point,FS,8,812,Francis Marion and Sumter National Forests,6740311,Little Long Nose #3,12,J7X3,Human,30,7,B,2,1,4/9/16,South Carolina,45,45,34.706667,-83.255556,6.5
35495,Point,FS,9,905,Mark Twain National Forest,6706845,SURRATT CREEK,52,J6H0,Human,30,9,B,2,1,3/2/16,Missouri,29,29,36.829167,-92.983056,6.5
35572,Point,FS,8,810,Ozark-St. Francis National Forest,6704919,CABIN,3,J5W8,Human,30,9,B,2,1,2/7/16,Arkansas,5,5,35.951389,-92.151111,6.5
597879,Point,BLM,CA,CACDD,California Desert District,697777,Backus,11658,KQ0Q,Human,30,0,B,2,1,9/18/16,California,6,6,34.9692,-118.1869,6.5
635248,Point,BLM,CO,COGJD,Grand Junction Center,693817,Radar,285,KD4S,Human,26,0,B,2,1,7/4/16,Colorado,8,8,39.04233,-108.41604,6.5
764370,Point,NPS,AKRO,AKDEP,Denali National Park & Preserve,700409,Toklat,1602, ,Human,0,0,B,2,4,9/13/16,Alaska,2,2,63.5292,-150.048772,6.6
31540,Point,FWS,13700,USWAHFR,Hanford Reach National Monument/Saddle Mountain National Wildlife Refuge,90333,Hwy 24 MP57,2016USWAHFRJ918,J918,Natural,0,0,B,2,1,6/8/16,Washington,53,53,46.745067,-119.5714,6.6
34918,Point,FS,3,305,Coronado National Forest,6712780,Fraguita Fire,52,EKV4,Natural,1,1,B,2,1,6/29/16,Arizona,4,4,31.506389,-111.342222,6.6
35745,Point,FS,1,111,Custer Gallatin National Forest,6714377,Brian Creek,11,KA59,Natural,1,1,B,2,1,6/18/16,Montana,30,30,45.405556,-106.269722,6.6
341383,Point,BIA,EOR,OKCNA,Cherokee Nation Tribe,689233,Fenceline,11,J5VC,Human,19,0,B,2,1,2/2/16,Oklahoma,40,40,35.7181,-94.5744,6.6
420902,Point,BIA,NAR,AZNAA,Navajo Regional Office,690974,Nenahnezad 2,48,J8CL,Human,13,0,B,2,1,4/19/16,New Mexico,35,35,36.74527,-108.42499,6.6
757703,Point,BLM,WY,WYCAD,Casper Field Office,696943,Forum,16483,KPG9,Natural,0,0,B,2,1,9/3/16,Wyoming,56,56,42.95854,-106.14579,6.7
31814,Point,FS,8,811,National Forests in North Carolina,6768005,MOSS KNOB,130,KS5S,Human,30,9,B,2,1,11/3/16,North Carolina,37,37,35.2425,-83.216389,6.7
35618,Point,FS,9,905,Mark Twain National Forest,6704323,VICKS,2,J5RN,Human,30,9,B,2,1,1/25/16,Missouri,29,29,36.781944,-92.937778,6.7
481847,Point,BIA,RMR,MTNCA,Northern Cheyenne Agency,695330,Cabin,46,KK4P,Human,32,0,B,2,1,8/6/16,Montana,30,30,45.5831,-106.5061,6.7
763923,Point,BLM,WY,WYWOD,Worland Field Office,696787,Gooseberry,476,KMN6,Human,30,0,B,2,1,8/17/16,Wyoming,56,56,43.99563,-108.54316,6.7
345502,Point,BIA,EOR,OKOSA,Osage Agency,688802,Canyon,6,J5SU,Human,32,0,B,2,1,1/29/16,Oklahoma,40,40,36.4528,-96.1042,6.8
34874,Point,FS,1,118,Dakota Prairie Grasslands,6713145,Powerline,6,KC25,Human,30,2,B,2,1,6/23/16,North Dakota,38,38,47.531667,-104.012778,6.8
34876,Point,FS,3,303,Cibola National Forest,6713227,K47,60,EKV2,Natural,1,1,B,2,1,7/2/16,New Mexico,35,35,36.553333,-103.093889,6.8
341373,Point,BIA,EOR,OKCNA,Cherokee Nation Tribe,688958,Kester 2,1,J5TV,Human,18,0,B,2,1,1/26/16,Oklahoma,40,40,36.3305,-94.9475,6.8
577838,Point,BLM,AZ,AZGID,Gila District Office,690642,San Pedro House,328,J7T4,Human,10,0,B,2,1,4/5/16,Arizona,4,4,31.6422,-110.1681,6.8
343694,Point,BIA,EOR,OKOMA,Okmulgee Field Office,690826,Snag Patch,40,J6C8,Human,30,0,B,2,1,2/26/16,Oklahoma,40,40,35.80992,-95.94403,6.9
664928,Point,BLM,MT,MTMCD,Miles City Field Office,695729,Knob,339,KL23,Natural,0,0,B,2,1,8/13/16,Montana,30,30,46.2797,-105.0858,6.9
31756,Point,FS,8,813,National Forests in Texas,6768967,Whippoorwill Cove,35,KA,Human,14,5,B,2,1,3/3/16,Texas,48,48,31.206944,-94.256111,6.9
489156,Point,BIA,SPR,OKANA,Anadarko Agency,695359,Goodin Rd,16048,KJE5,Human,15,0,B,2,1,7/28/16,Oklahoma,40,40,34.7317,-98.378,6.9
401140,Point,BIA,MWR,MNMRA,Midwest Regional Office,697373,Upper Sioux Pile Burn,4, ,Human,0,0,B,2,4,3/9/16,Minnesota,27,27,44.7508,-95.4842,7
797034,Point,NPS,MWRO,INIDP,Indiana Dunes National Lakeshore,698336,Tolleston Dunes Growing Season,32, ,Human,0,0,B,2,4,9/6/16,Indiana,18,18,41.6119,-87.1947,7
804417,Point,NPS,NERO,MACCP,Cape Cod National Seashore,702134,Highlands Center 6305424,1604, ,Human,0,0,B,2,4,4/14/16,Massachusetts,25,25,42.0283,-70.0544,7
651468,Point,BLM,ID,IDIFD,Idaho Falls Field Office,694913,Hwy 33 MM 35,3085,KJ6F,Human,0,0,B,2,3,7/22/16,Idaho,16,16,43.8414,-112.6569,7
841524,Point,NPS,SERO,MSNAP,Natchez Trace Parkway,700488,Red Horse Trail,1660,KS34,Human,0,0,B,2,3,11/2/16,Mississippi,28,28,0,0,7
428624,Point,BIA,NWR,MTFHA,Flathead Agency,696499,SHMITZ,141,KNC7,Natural,1,0,B,2,1,8/24/16,Montana,30,30,47.5344,-114.5514,7
664835,Point,BLM,MT,MTMCD,Miles City Field Office,692854,Cadwell,94,KB3C,Natural,0,0,B,2,1,6/24/16,Montana,30,30,45.0097,-105.0669,7
730843,Point,BLM,OR,ORVAD,Vale District,702414,Vale RFPA 6,188,KQZ1,Natural,0,0,B,2,1,9/18/16,Oregon,41,41,44.2197,-117.1564,7
31527,Point,FWS,43617,USMSGBR,Grand Bay National Wildlife Refuge,89461,Pond Road,2016USMSGBRJ6Y0,J6Y0,Undetermined,0,0,B,2,1,3/13/16,Mississippi,28,28,30.401093,-88.449938,7
489161,Point,BIA,SPR,OKANA,Anadarko Agency,695382,New Owner,16053,KK37,Human,15,0,B,2,1,8/6/16,Oklahoma,40,40,34.9211,-98.1583,7
609142,Point,BLM,CA,CACND,Central California,691885,Tillie,913,J9GM,Human,0,0,B,2,1,5/26/16,California,6,6,35.8031,-118.4717,7
396365,Point,BIA,MWR,IASFA,Sac and Fox Agency,690421,Northwood II,5,J7BS,Human,30,0,B,2,1,3/25/16,Iowa,19,19,42.00339,-92.66308,7
