Date,"Phoenix-Mesa-Scottsdale, AZ","Las Cruces, NM","El Centro, CA","Bishop, CA","Yuma, AZ","Riverside-San Bernardino-Ontario, CA","Bozeman, MT","Pahrump, NV","Santa Maria-Santa Barbara, CA","Las Vegas-Henderson-Paradise, NV","Allentown-Bethlehem-Easton, PA-NJ","Chicago-Naperville-Elgin, IL-IN-WI","Nashville-Davidson--Murfreesboro--Franklin, TN","Vernal, UT","Los Angeles-Long Beach-Anaheim, CA","Baltimore-Columbia-Towson, MD","Atlanta-Sandy Springs-Roswell, GA","Payson, AZ","Wichita, KS"
,,,,,,54,,,,,,,,,,,,,
,,,,,,48,,,,,,,,,,,,,
,,,,,,50,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,,,
,,,,,,48,,,,,,,,,,,,,
,,,,,,49,,,,,,,,,,,,,
,,,,,,51,,,,,,,,,,,,,
,,,,,,84,,,,,,,,,,,,,
,,,,,,84,,,,,,,,,,,,,
,,,,,,50,,,,,,,,,,,,,
,,,,,,74,,,,,,,,,,,,,
,,,,,,61,,,,,,,,,,,,,
,,,,,,51,,,,,,,,,,,,,
,,,,,,64,,,,,,,,,,,,,
,,,,,,64,,,,,,,,,,,,,
,,,,,,51,,,,,,,,,,,,,
,,,,,,58,,,,,,,,,,,,,
,,,,,,49,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,49,,,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,,,
,,,,,,49,,,,,,,,,,,,,
,,,,,,51,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,50,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,28,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,31,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,32,,,,,,,,,,,,,
,,,,,,31,,,,,,,,,,,,,
,,,,,,31,,,,,,,,,,,,,
,,,,,,32,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,45,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,13,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,41,,,,,,,,,,,,,
,,,,,,41,,,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,40,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,41,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,32,,,,,,,,,,,,,
,,,,,,34,,,,,,,,,,,,,
,,,,,,34,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,34,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,62,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,37,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,40,,,,,,,,,,,,,
,,,,,,39,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,43,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,
,,,,,,33,,,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,8,,,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,,,
,,,,,,34,,,,,,,,,,,,,
,,,,,,34,,,,,,,,,,,,,
,,,,,,63,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,46,,,,,,,,,,,,,
,,,,,,67,,,,,,,,,,,,,
,,,,,,38,,,,,,,,,,,,,
,,,,,,35,,,,,,,,,,,,,
,,,,,,71,,,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,,,
,,,,,,42,,,,,,,,,,,,,
,,,,,,62,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
,,,,,,44,,,,,,,,,,,,,
